Id,Label,Type,countTerms,date_debut,date_fin,section,sous_type
1,Justinien Ier,personne,1,527,565,Sceaux impériaux,
2,Constantin IV,personne,1,668,685,Sceaux impériaux,
3,basileis des Romains,titre,1,,,,
4,Georges,personne,1,1050,1075,L'administration centrale,
5,grand économe,titre,1,,,,
6,économe,titre,2,,,,
7,patrice,titre,4,,,,
8,juge,titre,4,,,,
9,Velum,lieu,1,,,,
10,Grègoras,personne,1,875,900,L'administration centrale,
11,spatharocandidat,titre,1,,,,
12,topotèrètès,titre,3,,,,
13,Arithmos,lieu,1,,,,
14,"Michel, vestarque",personne,1,1025,1075,L'administration centrale,
15,vestarque,titre,3,,,,
16,Néa,lieu,1,,,,
17,Nicétas Sarônitès,personne,1,1050,1075,L'administration centrale,
18,protovestès,titre,1,,,,
19,domestique,titre,1,,,,
20,Excubites,lieu,1,,,,
21,"Nicétas, ostiaire",personne,1,950,1000,L'administration centrale,
22,pincerne,titre,1,,,,
23,ostiaire,titre,1,,,,
24,"Théodore, logothète",personne,1,867,900,L'administration centrale,
25,protospathaire,titre,8,,,,
26,anthypatos,titre,2,,,,
27,logothète,titre,1,,,,
28,David Tzipourélès,personne,1,1000,1100,Administration provinciale,
29,stratège,titre,5,,,,
30,Étienne,personne,1,1025,1075,Administration provinciale,
31,duc,titre,2,,,,
32,Antioche,lieu,2,,,,
33,Jean Radènos,personne,1,980,1020,Administration provinciale,
34,"Jean, duc",personne,1,1057,1080,Administration provinciale,
35,protoproèdre,titre,1,,,,
36,Justinien,personne,1,700,733,Administration provinciale,
37,hypatos,titre,1,,,,
38,Opsikion,lieu,2,,,,
39,"Léon, vestès",personne,1,1025,1075,Administration provinciale,
40,vestès,titre,1,,,,
41,Bucellaires,lieu,1,,,,
42,"Léon, protospathaire",personne,1,700,800,Administration provinciale,
43,Dyrrachion,lieu,1,,,,
44,Michel Avramopoulos,personne,1,1033,1067,Administration provinciale,
45,chartulaire,titre,1,,,,
46,asèkrètis,titre,1,,,,
47,Péloponnèse,lieu,1,,,,
48,Hellade,lieu,1,,,,
49,"Michel, magistre",personne,1,1050,1070,Administration provinciale,
50,stratèlatès,titre,1,,,,
51,magistre,titre,1,,,,
52,"Nicétas, juge",personne,1,1025,1075,Administration provinciale,
53,Thracésiens,lieu,2,,,,
54,"Nicétas, protospathaire",personne,1,1025,1075,Administration provinciale,
55,Oursel de Bailleul (20),personne,1,1060,1080,Administration provinciale,
56,stratopédarque,titre,2,,,,
57,proèdre,titre,2,,,,
58,Oursel de Bailleul (20bis),personne,1,1067,1100,Administration provinciale,
59,Zacharie,personne,1,1060,1080,Administration provinciale,
60,Séleucie,lieu,1,,,,
61,Pancrace Boulkasiotès,personne,1,1025,1075,Administration provinciale,
62,Romain Ismaïl,personne,1,1025,1075,Administration provinciale,
63,protokentarque,titre,1,,,,
64,Romain Kourkouas,personne,1,1000,1025,Administration provinciale,
65,"Théodore, préfet",personne,1,500,600,Administration provinciale,
66,préfet,titre,1,,,,
67,îles,lieu,1,,,,
68,Alexis Comnène,personne,1,1100,1133,Les dignitaires,
69,sébaste,titre,2,,,,
70,Nicéphore Comnène,personne,1,1100,1133,Les dignitaires,
71,grand drongaire,titre,1,,,,
72,Andrea Michiel,personne,1,1080,1120,Les dignitaires,
73,Apsimar,personne,1,650,700,Les dignitaires,
74,illoustrios,titre,1,,,,
75,komès,titre,1,,,,
76,Constantin Érôtikos,personne,1,1000,1040,Les dignitaires,
77,Marie Makrembolitissa,personne,1,1070,1080,Les dignitaires,
78,kouropalatissa,titre,1,,,,
79,Nicolas Synésios,personne,1,1080,1110,Les dignitaires,
80,Athanase,personne,1,600,700,Les dignitaires,
81,évêque,titre,3,,,,
82,Parnassos,lieu,1,,,,
83,Cyriaque,personne,1,1028,1050,Les dignitaires,
84,archevêque,titre,1,,,,
85,syncelle,titre,1,,,,
86,Éphèse,lieu,1,,,,
87,"Jean, évêque",personne,1,667,700,Les dignitaires,
88,Samos,lieu,1,,,,
89,Nicéphore,personne,1,1025,1075,Les dignitaires,
90,moine,titre,2,,,,
91,Nicolas,personne,1,1033,1067,Les dignitaires,
92,Sébastè,lieu,1,,,,
93,Théodose,personne,1,1000,1100,Les dignitaires,
94,Constantin Babôskomètès,personne,1,1080,1120,Sceaux patronymiques,
95,Basile Pépagoménos,personne,1,1080,1110,Sceaux patronymiques,
96,Ochin Vigénès,personne,1,1050,1100,Sceaux patronymiques,
97,Victoire,religion,1,,,,saint
98,Christ,religion,7,,,,saint
99,Théotokos,religion,7,,,,saint
100,saint Georges,religion,7,,,,saint
101,croix patriarcale,religion,4,,,,symbole
102,saint Michel,religion,4,,,,saint
103,saint Théodore,religion,5,,,,saint
104,saint Démétrios,religion,2,,,,saint
105,monogramme invocatif,religion,2,,,,symbole
106,monogramme,religion,3,,,,symbole
107,labarum,religion,1,,,,symbole
108,saint Nicolas,religion,4,,,,saint
109,saint militaire,religion,1,,,,saint
